,endTime,artistName,trackName,msPlayed,category
0,2022-06-03 15:00,Basketball Illuminati,Strus Tellers,906310,podcast
1,2022-06-04 04:36,Basketball Illuminati,Strus Tellers,943739,podcast
2,2022-06-04 04:42,Basketball Illuminati,Basketball Illuminati Trailer,65032,podcast
3,2022-06-04 04:43,Basketball Illuminati,Checks and Balances,53225,podcast
4,2022-06-04 05:13,Basketball Illuminati,Conservation Of Points,1836265,podcast
5,2022-06-04 05:15,Basketball Illuminati,Zion's Landing,97346,podcast
6,2022-06-04 06:09,Basketball Illuminati,Westbr**k,3224804,podcast
7,2022-06-04 07:07,Basketball Illuminati,The Media Gets Sacked,3493578,podcast
8,2022-06-04 07:08,Basketball Illuminati,Maratatouille,66861,podcast
9,2022-06-04 11:35,Basketball Illuminati,The Scape-GOAT,981572,podcast
10,2022-06-04 14:19,The Draymond Green Show,The Draymond Green Show - NBA Finals Game 1 Recap + Mailbag,2302465,podcast
11,2022-06-04 14:19,Batman Unburied,09. Box in the Ground,10220,podcast
12,2022-06-04 14:22,Batman Unburied,09. Box in the Ground,73869,podcast
13,2022-06-04 14:25,Luke Combs,Cold As You,186106,song
14,2022-06-04 14:29,Luke Combs,Every Little Bit Helps,247826,song
15,2022-06-04 14:33,Luke Combs,Memories Are Made Of,216666,song
16,2022-06-04 14:36,Luke Combs,Hurricane,222533,song
17,2022-06-04 14:39,Luke Combs,One Number Away,161156,song
18,2022-06-04 15:32,The Ringer NBA Show,NBA Finals Game 1 Reactions | The Answer,1172,podcast
19,2022-06-04 16:09,The Ringer NBA Show,NBA Finals Game 1 Reactions | The Answer,1856300,podcast
20,2022-06-04 16:56,The Ringer NBA Show,NBA Finals Game 1 Reactions | The Answer,58638,podcast
21,2022-06-04 21:24,Batman Unburied,09. Box in the Ground,563536,podcast
22,2022-06-04 21:35,Batman Unburied,09. Box in the Ground,589034,podcast
23,2022-06-04 21:35,Batman Unburied,10. In the Soil,10400,podcast
24,2022-06-04 22:10,Batman Unburied,10. In the Soil,1822934,podcast
25,2022-06-04 23:23,Rogue Theory: A New Rockstars Podcast,Stranger Things Ending & Season 4 Theories! #RogueTheory,100590,podcast
26,2022-06-04 23:33,The Joe Rogan Experience,#1824 - Lex Fridman,584176,podcast
27,2022-06-04 23:36,Jocko Podcast,336: Your Superpower. How To Get It. How To Use It.,108630,podcast
28,2022-06-04 23:37,How to Talk to People,Starting Over When You Think It's Too Late,2450,podcast
29,2022-06-04 23:38,Just B with Bethenny Frankel,Jesse Itzler,44720,podcast
30,2022-06-05 01:06,Dropping Bombs,Jesse Itzler: The Secret to Attracting Luck. Episode 347 with The Real Brad Lea (TRBL),2858720,podcast
31,2022-06-05 02:17,The Bill Simmons Podcast,"A Huge Celts Comeback with Haralabos Voulgaris, Plus Adam Sandler on 30 Years of Comedies and Making ‘Hustle’",1279944,podcast
32,2022-06-05 02:19,The Bill Simmons Podcast,"A Huge Celts Comeback with Haralabos Voulgaris, Plus Adam Sandler on 30 Years of Comedies and Making ‘Hustle’",136671,podcast
33,2022-06-05 05:14,Jalen & Jacoby,Huge Role Player Games For Boston,1266811,podcast
34,2022-06-05 06:18,The Lowe Post,Doris Burke,3805976,podcast
35,2022-06-05 14:54,"Follow Him: A Come, Follow Me Podcast",Ruth ; Samuel 1-3 -- Part 1 : Dr. Gaye Strathearn,89130,podcast
36,2022-06-06 03:22,Call Her Daddy,Olivia Ponton: Happy Pride! (Summer Series) [VIDEO] ,39646,podcast
37,2022-06-06 05:15,No Buffs | Survivor 44 Podcast,No Buffs | Survivor 42 — Ep. 13 Finale & After Show Recap (with Jason Concepcion),5845043,podcast
38,2022-06-06 12:43,The Bill Simmons Podcast,"The Warriors Strike Back, Kyrie Destinations, and Sacramento on the Clock With Ryen Russillo",1070,podcast
39,2022-06-06 13:36,The Bill Simmons Podcast,"The Warriors Strike Back, Kyrie Destinations, and Sacramento on the Clock With Ryen Russillo",3091470,podcast
40,2022-06-06 13:47,The Bill Simmons Podcast,"The Warriors Strike Back, Kyrie Destinations, and Sacramento on the Clock With Ryen Russillo",403326,podcast
41,2022-06-06 18:48,The Bill Simmons Podcast,"The Warriors Strike Back, Kyrie Destinations, and Sacramento on the Clock With Ryen Russillo",1368873,podcast
42,2022-06-06 23:58,The Bill Simmons Podcast,"The Warriors Strike Back, Kyrie Destinations, and Sacramento on the Clock With Ryen Russillo",1385810,podcast
43,2022-06-06 23:59,QtamO,A kind of magic,8779,song
44,2022-06-06 23:59,Aicha Sun,Inner Monologue,5175,song
45,2022-06-06 23:59,Chill Work Music,Copyright Free Music,21429,song
46,2022-06-07 00:01,Musway Studio,"Upbeat (No Copyright Music), Ver. 1",136029,song
47,2022-06-07 00:02,Musway Studio,Inspirational Epic (No Copyright Music) - Ver. 3,38780,song
48,2022-06-07 00:04,Conti Music,Corporate Identity (Light Royalty Free Music),113992,song
49,2022-06-07 00:06,Liborio Conti,Epic Adventure Action,112771,song
50,2022-06-07 00:07,DepasRec,Weird AD Show (Interwoven Piano Background),104501,song
51,2022-06-07 00:09,MaxKoMusic,Awards Ceremony,119814,song
52,2022-06-07 00:12,Musway Studio,Cinematic Epic (No Copyright Music) - Ver. 1,139808,song
53,2022-06-07 00:13,The Pennace,Think About Dreams,59814,podcast
54,2022-06-07 00:14,Conti Music,Whistling Happiness (Upbeat Royalty Free Music),97135,song
55,2022-06-07 00:16,Wanted Carter,Non Copyright Background Music Free To Use NCS Sounds Inspiring For Youtube Presentations Studying Relaxation Music Emotional Inspiring for Relaxation Meditation Romantic Music,96053,song
56,2022-06-07 00:18,Buford Bauman,I'm Not Sorry,119814,podcast
57,2022-06-07 00:20,DepasRec,Upbeat positive motivational electronic,143891,song
58,2022-06-07 00:23,Musway Studio,Piano and Strings (No Copyright Music) - Ver. 1,144812,song
59,2022-06-07 00:24,Gibson Kawago,Non Copyright Background Music For Youtube Presentations Travelling Studying Music Emotional Inspiring for Presentations TCE,83877,song
60,2022-06-07 00:26,Conti Music,Inspiring Acoustics (Light Royalty Free Music),117888,song
61,2022-06-07 00:28,Action Alexi,Corporate Background,129823,song
62,2022-06-07 00:30,MFCC,Awards Ceremony Music,73142,song
63,2022-06-07 00:31,DepasRec,Inspirational happy love background music,96087,song
64,2022-06-07 00:34,Musway Studio,Happy (No Copyright Music) - Ver. 1,147807,song
65,2022-06-07 00:35,Turn Back Time,Revenge,68415,song
66,2022-06-07 00:37,Conti Music,Epic Orchestra (Epic Royalty Free Music),138720,song
67,2022-06-07 00:40,SLPSTRM,Silent Bloom,181212,song
68,2022-06-07 00:42,Florews,Joyful,126299,song
69,2022-06-07 00:44,DepasRec,Optimistic Energetic Music,123307,song
70,2022-06-07 00:47,Musway Studio,"Trailer (No Copyright Music), Ver. 1",165826,song
71,2022-06-07 00:49,Romansenykmusic,Inspiring Uplifting Motivational Cinematic,118936,song
72,2022-06-07 00:52,Conti Music,It's a Beautiful Life (Inspiring Royalty Free Music),147511,song
73,2022-06-07 00:53,Wanted Carter,Sad LoFi Hip Hop Beat to study relax sleep to chilled cow,63164,song
74,2022-06-07 00:55,Sound Gallery by Dmitry Taras,Award Ceremony,171636,song
75,2022-06-07 00:58,DepasRec,Corporate Technology (Business Background Music),139479,song
76,2022-06-07 01:00,Carmen King,Osorath Enclave,39822,song
77,2022-06-07 01:00,Musway Studio,"Trailer (No Copyright Music), Ver. 2",105814,song
78,2022-06-07 01:02,Jon Björk,The Battle of Mount Valor,123564,song
79,2022-06-07 01:05,Conti Music,A Day in the Sun (Happy and Uplifting Royalty Free Music),191815,song
80,2022-06-07 01:07,Hodges Heard,Love His Mind,117814,song
81,2022-06-07 01:09,StockXL,Tropical Deep House,120000,song
82,2022-06-07 01:12,Musway Studio,Dance House,176014,song
83,2022-06-07 01:13,Billie Pearce,Teodolinda Brunelli,61729,song
84,2022-06-07 01:16,MokkaMusic,Luminos,129401,song
85,2022-06-07 01:17,To The Tower,Foggy Figure,85882,song
86,2022-06-07 01:20,DepasRec,Inspiring Dense Cheerful Minimal,159123,song
87,2022-06-07 01:22,Florews,Patriot,146257,song
88,2022-06-07 01:24,Musway Studio,"Cinemtic Ambient (No Copyright Music), Ver. 2",90825,song
89,2022-06-07 01:26,Osuna Meyer,She Thinks He's A Gangsta,119976,song
90,2022-06-07 01:27,Angel Turner,Gear Centaurs,61091,song
91,2022-06-07 01:28,Billy Atkinson,Crimson Geulimja,61091,song
92,2022-06-07 01:30,JayJen,Sunlight,145171,song
93,2022-06-07 01:32,StockXL,Tropical Mood,132501,song
94,2022-06-07 01:35,Musway Studio,Christmas Holiday,148028,song
95,2022-06-07 01:36,Lux-Inspira,People Power,82667,song
96,2022-06-07 01:40,Liborio Conti,Amazing,233326,song
97,2022-06-07 01:41,Musway Studio,Inspirational Epic (No Copyright Music) - Ver. 2,71796,song
98,2022-06-07 01:43,Vlad Gluschenko,Spring Walk,125163,song
99,2022-06-07 01:45,MENESES SCRUGGS,She Knows I Need You,119814,song
100,2022-06-07 01:48,StockXL,Tropical Inspiring Pop,126512,podcast
101,2022-06-07 01:50,Carbone VoSS,He Said You're On My Mind,119814,song
102,2022-06-07 01:50,Musway Studio,Tropical Dance (No Copyright Music) - Ver. 3,40862,song
103,2022-06-07 01:51,Alexis Scott,Klepto Clem,61729,song
104,2022-06-07 01:54,Romansenykmusic,Epic Cinematic Dramatic Adventure Trailer,136236,song
105,2022-06-07 01:56,Teran Stoner,She Heard I Need You,119814,song
106,2022-06-07 01:58,MaxKoMusic,Shutter,131814,song
107,2022-06-07 02:00,StockXL,Background Music For Travel,153287,song
108,2022-06-07 02:01,Musway Studio,Summer Positive (No Copyright Music) - Ver. 3,35794,song
109,2022-06-07 02:03,Liborio Conti,Scary,112533,song
110,2022-06-07 02:05,ScanloN THORSON,I Hope He Likes To Party,125000,song
111,2022-06-07 02:08,MokkaMusic,Liberty,189327,song
112,2022-06-07 02:11,Borrtex,Enjoy the Game,173291,song
113,2022-06-07 02:13,StockXL,The Tropical,120001,song
114,2022-06-07 02:15,Musway Studio,Ambient (No Copyright Music) - Ver. 1,129811,song
115,2022-06-07 02:19,Alexander Nakarada,Reaching the Sky - Long Version,253314,song
116,2022-06-07 02:21,lerralera,Pirates,74002,song
117,2022-06-07 02:22,Reynard Seidel,Catasterism,108867,song
118,2022-06-07 02:26,Bob Bradley,Into Battle,190991,song
119,2022-06-07 02:28,StockXL,Romantic Travel Ambient,132508,song
120,2022-06-07 02:30,Musway Studio,Merry Christmas,149839,song
121,2022-06-07 02:33,Austin Fray,Tension and Tasking Strings,133706,song
122,2022-06-07 02:35,OZO,Bell For The Butler,138740,song
123,2022-06-07 02:36,Lil Yonk0,Countless Hours,66610,podcast
124,2022-06-07 02:38,Zimmerman Whalen,"Babe, You're Wild",117814,song
125,2022-06-07 02:40,StockXL,Tropical Inspiring,126723,song
126,2022-06-07 02:41,Musway Studio,"Fun, Ver. 3",35005,song
127,2022-06-07 02:44,Romansenykmusic,Trailer Epic Action,196998,song
128,2022-06-07 02:46,David Agoglia,Pepperpot,120001,song
129,2022-06-07 02:48,Chase Kearney,"Sweetie, Come Back",118000,song
130,2022-06-07 02:50,Frederic Sans,The Kingdom,129823,song
131,2022-06-07 02:52,Musway Studio,Inspirational Fantastic Epic,131809,song
132,2022-06-07 02:54,Mothense,Plumipes,92252,song
133,2022-06-07 02:56,Romansenykmusic,Successful Business,151579,song
134,2022-06-07 02:58,J-Eclectic,Falling,104542,song
135,2022-06-07 02:59,Glenn Burton,Torment Werewolves,61689,song
136,2022-06-07 03:01,Musway Studio,"Cinemtic Ambient (No Copyright Music), Ver. 1",134748,song
137,2022-06-07 03:02,Giorgio Di Campo,Nylon Guitar,53823,song
138,2022-06-07 03:04,Little Ziegler,I Hope I Love Somebody,117976,song
139,2022-06-07 03:06,Weis Mcmullen,She Heard I Got It,119814,song
140,2022-06-07 03:09,Liborio Conti,Tropical,187452,song
141,2022-06-07 03:12,Musway Studio,Ambient Hip-Hop,155763,song
142,2022-06-07 03:13,Paul Werner,Heroic Firework,47104,song
143,2022-06-07 03:15,Wanted Carter,Please Don't Go,120001,song
144,2022-06-07 03:16,Giorgio Di Campo,Harmonica,54497,song
145,2022-06-07 03:18,Musway Studio,"Positive (No Copyright Music), Ver. 3",36804,song
146,2022-06-07 03:18,ChillMindscapes,Think Of Nostalgia,125098,song
147,2022-06-07 03:21,Giorgio Di Campo,Viola,48974,song
148,2022-06-07 03:21,Musway Studio,Summer Positive (No Copyright Music) - Ver. 1,127820,song
149,2022-06-07 03:25,Conti Music,Acoustic Dreams (Dreamy Royalty Free Music),211012,song
150,2022-06-07 03:26,Infraction,Titan,89815,song
151,2022-06-07 03:29,Eoin Mantell,Civilization Meltdown,141814,podcast
152,2022-06-07 03:31,Musway Studio,Fantastic Journey,141052,song
153,2022-06-07 03:33,Stout HoaNG,Sound Of Yesterday,117814,song
154,2022-06-07 03:35,scaloni split,Días Felices,127431,podcast
155,2022-06-07 03:39,Conti Music,Getting There (Cinematic Royalty Free Music),198967,song
156,2022-06-07 03:41,Romansenykmusic,Anthem of Inspiration,151875,song
157,2022-06-07 03:44,Musway Studio,Inspirational Epic (No Copyright Music) - Ver. 1,173825,song
158,2022-06-07 03:47,Brusspup,Over Rain,191439,song
159,2022-06-07 03:49,Angy O'Letta,Morning Dream,127185,song
160,2022-06-07 03:51,Worden DILL,She Knows He Belongs On The Streets,120000,song
161,2022-06-07 03:55,Conti Music,Spring's Reflection (Motivational Royalty Free Music),224688,song
162,2022-06-07 03:57,Musway Studio,Summer Dance,106812,song
163,2022-06-07 04:00,Romansenykmusic,Protect Our Home,169338,song
164,2022-06-07 04:02,MusicbyAden,River,134358,song
165,2022-06-07 04:04,Mehmet Akif Soylu,MXX,153075,song
166,2022-06-07 04:05,Giorgio Di Campo,Organ,53529,song
167,2022-06-07 04:07,Musway Studio,"Cheerful, Ver. 1",122822,song
168,2022-06-07 04:10,Conti Music,Cinspirational (Cinematic Royalty Free Music),131293,song
169,2022-06-07 04:11,Liz Flower,Beautiful Night,101875,song
170,2022-06-07 04:14,KARATULA MAXIMA,Arena Movediza,148562,podcast
171,2022-06-07 04:16,Blocker mcclendon,I Need You,120000,song
172,2022-06-07 04:18,Musway Studio,Tropical Dance (No Copyright Music) - Ver. 1,115862,song
173,2022-06-07 04:20,Jon Björk,The Great War,153734,song
174,2022-06-07 04:22,Wanted Carter,No Copyright Background Music For Youtube Twitch Facebook Instagram Travelling Beat,91426,podcast
175,2022-06-07 04:25,Conti Music,Good Morning Sunshine (Happy and Uplifting Royalty Free Music),168024,song
176,2022-06-07 04:27,Xamadeur,Secreto A Voces,162344,song
177,2022-06-07 04:28,Musway Studio,"Cheerful, Ver. 3",35016,song
178,2022-06-07 04:30,Songs To Your Eyes,Aomori,137814,song
179,2022-06-07 04:32,Ainsworth Corley,She Thinks She's Guilty,119814,song
180,2022-06-07 04:36,Romansenykmusic,Trailer Sport Action Motivational,231814,song
181,2022-06-07 04:39,George Webster,The Next Chapter,199831,song
182,2022-06-07 04:42,Musway Studio,Epic Inspirational Sport,127025,song
183,2022-06-07 04:44,Hendrick Luther,"Baby, Let's Talk About It",119981,song
184,2022-06-07 04:46,Conti Music,I Can (Motivational Royalty Free Music),161784,song
185,2022-06-07 04:49,DepasRec,Positive business corporate,174590,song
186,2022-06-07 04:52,Romansenykmusic,Epic Drama Cinematic Trailer,188000,song
187,2022-06-07 04:54,Musway Studio,"Fun, Ver. 1",122822,song
188,2022-06-07 04:55,Giorgio Di Campo,Strumming,48244,song
189,2022-06-07 04:56,Giorgio Di Campo,Strumming,12376,song
190,2022-06-07 05:44,Jalen & Jacoby,Warriors strike back,2281418,podcast
191,2022-06-07 05:44,Giorgio Di Campo,Strumming,50099,song
192,2022-06-07 09:23,The Draymond Green Show,The Draymond Green Show - Game 2 Recap: The Dray/Jaylen Play,1425742,podcast
193,2022-06-07 13:12,The Colin and Samir Show,How Ryan Trahan Changed YouTube with a Penny,647158,podcast
194,2022-06-07 15:22,Luke Bryan,Play It Again,5240,song
195,2022-06-07 15:26,Luke Combs,Forever After All,232534,song
196,2022-06-07 15:30,Luke Combs,When It Rains It Pours,239979,song
197,2022-06-07 15:33,Luke Combs,Beautiful Crazy,193198,song
198,2022-06-07 15:38,Luke Combs,Doin' This,254182,song
199,2022-06-07 15:41,Luke Combs,Beer Never Broke My Heart,186734,song
200,2022-06-07 15:44,Luke Combs,She Got the Best of Me,182974,song
201,2022-06-07 15:48,Luke Combs,Hurricane,222534,song
202,2022-06-07 15:51,Luke Combs,Better Together,219574,song
203,2022-06-07 15:54,Luke Combs,Cold As You,186107,song
204,2022-06-07 15:58,Luke Combs,Tomorrow Me,208548,song
205,2022-06-07 16:01,Luke Combs,Beer Never Broke My Heart,186548,song
206,2022-06-07 16:04,Luke Combs,Refrigerator Door,204240,song
207,2022-06-07 16:08,Luke Combs,Even Though I'm Leaving,225068,song
208,2022-06-07 16:11,Luke Combs,Lovin' On You,194681,song
209,2022-06-07 16:15,Luke Combs,Moon Over Mexico,204640,song
210,2022-06-07 16:18,Luke Combs,"1, 2 Many",179816,song
211,2022-06-07 16:21,Luke Combs,Blue Collar Boys,219734,song
212,2022-06-07 16:25,Luke Combs,New Every Day,199108,song
213,2022-06-07 16:28,Luke Combs,Reasons,224177,song
214,2022-06-07 16:33,Luke Combs,Every Little Bit Helps,247641,song
215,2022-06-07 16:36,Luke Combs,Dear Today,219548,song
216,2022-06-07 16:39,Luke Combs,What You See Is What You Get,171920,song
217,2022-06-07 16:43,Luke Combs,Does To Me (feat. Eric Church),223320,song
218,2022-06-07 16:47,Luke Combs,Angels Workin' Overtime,253601,song
219,2022-06-07 16:51,Luke Combs,All Over Again,208880,song
220,2022-06-07 16:54,Luke Combs,Nothing Like You,196134,song
221,2022-06-07 16:58,Luke Combs,Better Together,219574,song
222,2022-06-07 17:01,Luke Combs,Six Feet Apart,198881,song
223,2022-06-07 17:04,Luke Combs,Cold As You,186107,song
224,2022-06-07 17:07,Luke Combs,The Other Guy,190009,song
225,2022-06-07 17:12,Luke Combs,My Kinda Folk,267121,song
226,2022-06-07 17:15,Luke Combs,Without You,224987,song
227,2022-06-07 17:19,Luke Combs,Forever After All,232348,song
228,2022-06-07 17:22,Luke Combs,Beer Never Broke My Heart,186734,song
